symbol,effective_date,split_ratio,current_float_m,status
VERO,2025-03-04,11,1.74,Complete
STBX,2025-03-03,10,0.59,Complete
CLEU,2025-03-03,80,3.15,Complete
LICN,2025-03-03,200,0.71,Complete
EDBL,2025-03-03,25,5.13,Complete
APTO,2025-02-26,30,2.07,Complete
KPTI,2025-02-26,15,9.65,Complete
AEON,2025-02-26,72,11.12,Complete
LODE,2025-02-25,10,50.15,Complete
SXTC,2025-02-25,8,114.24,Complete
SOAR,2025-02-24,25,6.87,Complete
GRI,2025-02-24,17,3.27,Complete
HWH,2025-02-24,5,1.41,Complete
SXTP,2025-02-24,5,4.17,Complete
WINT,2025-02-21,50,33.71,Complete
SVRE,2025-02-21,13.33,2.18,Complete
CNSP,2025-02-21,50,0.62,Complete
